,country,count
1,,100
2,38,1
3,Afghanistan,3
4,Albania,19
5,Algeria,19
6,Anonymous Proxy,35
7,Argentina,94
8,Armenia,14
9,Aruba,1
10,Asia/Pacific Region,50
11,Australia,567
12,Austria,73
13,Azerbaijan,7
14,Bahamas,3
15,Bahrain,6
16,Bangladesh,59
17,Barbados,4
18,Belarus,26
19,Belgium,104
20,Belize,2
21,Benin,1
22,Bermuda,2
23,Bhutan,2
24,Bolivia,23
25,Bosnia and Herzegovina,9
26,Botswana,1
27,Brazil,844
28,Brunei Darussalam,2
29,Bulgaria,39
30,Burkina Faso,4
31,Cambodia,15
32,Cameroon,11
33,Canada,848
34,Cape Verde,3
35,Cayman Islands,1
36,Chile,88
37,China,1362
38,Colombia,157
39,Congo,1
40,Costa Rica,17
41,Cote D'Ivoire,1
42,Croatia,46
43,Cuba,2
44,Curacao,2
45,Cyprus,22
46,Czech Republic,108
47,Denmark,95
48,Djibouti,4
49,Dominica,2
50,Dominican Republic,21
51,Ecuador,49
52,Egypt,126
53,El Salvador,8
54,Eritrea,1
55,Estonia,25
56,Ethiopia,11
57,Europe,90
58,Fiji,3
59,Finland,99
60,France,507
61,Georgia,11
62,Germany,481
63,Ghana,31
64,Gibraltar,2
65,Greece,268
66,Grenada,2
67,Guadeloupe,1
68,Guam,1
69,Guatemala,20
70,Guyana,1
71,Haiti,1
72,Honduras,6
73,Hong Kong,232
74,Hungary,73
75,Iceland,10
76,India,4800
77,Indonesia,114
78,Iran,129
79,Iraq,6
80,Ireland,126
81,Isle of Man,1
82,Israel,221
83,Italy,230
84,Jackson,1
85,Jamaica,9
86,Japan,308
87,Jersey,2
88,Jordan,19
89,Kazakhstan,26
90,Kenya,32
91,Korea,355
92,Kuwait,5
93,Kyrgyzstan,1
94,Lao People's Democratic Republic,3
95,Latvia,10
96,Lebanon,16
97,Lesotho,1
98,Liberia,2
99,Libya,1
100,Lithuania,35
101,Luxembourg,19
102,Macau,11
103,Macedonia,15
104,Madagascar,2
105,Malawi,2
106,Malaysia,113
107,Maldives,3
108,Malta,7
109,Martinique,1
110,Mauritania,1
111,Mauritius,6
112,Mexico,263
113,Micronesia,1
114,Moldova,7
115,Mongolia,17
116,Morocco,76
117,Mozambique,3
118,Myanmar,5
119,Namibia,5
120,Nepal,46
121,Netherlands,339
122,New Caledonia,1
123,New Zealand,58
124,Nicaragua,2
125,Niger,1
126,Nigeria,63
127,Norway,56
128,Oman,17
129,Pakistan,255
130,Palestinian Territory,5
131,Panama,9
132,Papua New Guinea,1
133,Paraguay,8
134,Peru,93
135,Philippines,130
136,Poland,223
137,Portugal,122
138,Puerto Rico,14
139,Qatar,20
140,Reunion,1
141,Romania,147
142,Russian Federation,483
143,Rwanda,2
144,Saint Kitts and Nevis,1
145,Saint Lucia,2
146,Saint Vincent and the Grenadines,1
147,Sao Tome and Principe,1
148,Satellite Provider,6
149,Saudi Arabia,105
150,Senegal,10
151,Serbia,60
152,Seychelles,2
153,Singapore,422
154,Slovakia,36
155,Slovenia,30
156,South Africa,112
157,Spain,755
158,Sri Lanka,45
159,Sudan,6
160,Suriname,1
161,Swaziland,3
162,Sweden,135
163,Switzerland,138
164,Syrian Arab Republic,5
165,Taiwan,245
166,Tajikistan,1
167,Tanzania,15
168,Thailand,120
169,Timor-Leste,1
170,Togo,1
171,Trinidad and Tobago,11
172,Tunisia,28
173,Turkey,219
174,Turks and Caicos Islands,1
175,Uganda,6
176,Ukraine,176
177,United Arab Emirates,76
178,United Kingdom,1010
179,United States,10133
180,Uruguay,18
181,Uzbekistan,7
182,Venezuela,36
183,Vietnam,198
184,Virgin Islands,1
185,Yemen,2
186,Zambia,4
187,Zimbabwe,5
